scenario,model,final_protection_share_mean,final_protection_share_sd,final_capability_mean,final_capability_sd,cumulative_output_mean,inversion_frequency
unconditional_protection,endogenous,0.9893432898318373,0.0002447278347168136,0.007754287422339975,0.00642502342066617,51.49271000616123,1.0
unconditional_protection,fixed,0.9535451093245064,0.003678534110083559,0.62,0.0,53.8445701245679,0.0
conditional_support,endogenous,0.007583276513817458,7.455386086956113e-05,1.0,0.0,116.29964340861294,0.0
conditional_support,fixed,0.008823739125207102,0.0001363188980995989,0.62,0.0,74.49500826003796,0.0
open_exposure,endogenous,0.007144010374319767,5.350463238327092e-05,1.0,0.0,115.50536596430504,0.0
open_exposure,fixed,0.00795207589041221,9.253792356336545e-05,0.62,0.0,74.23083017524458,0.0
sequenced_transition,endogenous,0.0071736658477795975,5.491406949345935e-05,1.0,0.0,79.59790793169846,0.0
sequenced_transition,fixed,0.008008543332696298,9.531853589800009e-05,0.62,0.0,72.92143314596143,0.0
