scenario,model,step,protection_share,capability,output_proxy
conditional_support,endogenous,0,0.3,0.62,0.51752
conditional_support,endogenous,1,0.12564157310046906,0.6292472120603787,0.5851666000262007
conditional_support,endogenous,2,0.048966245569869504,0.6465019852429398,0.6284788114277465
conditional_support,endogenous,3,0.021658541613386536,0.6672234896958196,0.6588029211944129
conditional_support,endogenous,4,0.012648446996902032,0.6888756350793077,0.6836841151170648
conditional_support,endogenous,5,0.00974514166830508,0.7104733506360918,0.7062630155737668
conditional_support,endogenous,6,0.008808501378572899,0.7327519054194831,0.7287499690600657
conditional_support,endogenous,7,0.008482696739720592,0.7547988750169419,0.7507580166005363
conditional_support,endogenous,8,0.008328614399762327,0.7760103905964028,0.7718661838651898
conditional_support,endogenous,9,0.008227975489645881,0.7973196767755419,0.7930500899493306
conditional_support,endogenous,10,0.008145051184503536,0.8182966920081309,0.8138993454181329
conditional_support,endogenous,11,0.008078143724423814,0.8389905725826395,0.8344621546107978
conditional_support,endogenous,12,0.00801336765508072,0.8594121193567453,0.8547564454813265
conditional_support,endogenous,13,0.007948622000456011,0.8798304659980568,0.8750502083785917
conditional_support,endogenous,14,0.00789324355164179,0.8993918073071573,0.8944905094543526
conditional_support,endogenous,15,0.00784526179522347,0.919080438251221,0.9140544150504195
conditional_support,endogenous,16,0.00779247751837955,0.9388352472455208,0.9336891506627275
conditional_support,endogenous,17,0.00774022843901273,0.9579700815782778,0.9527102848087146
conditional_support,endogenous,18,0.007689350152669289,0.9770038033626478,0.9716323211740002
conditional_support,endogenous,19,0.00763892061495562,0.9929762607446825,0.9875178605013516
conditional_support,endogenous,20,0.007605485386639931,0.9994455067734082,0.9939616361807142
conditional_support,endogenous,21,0.007594030560171226,0.9999902310349826,0.994510454592485
conditional_support,endogenous,22,0.007579161633326159,1.0,0.9945308769653919
conditional_support,endogenous,23,0.007584491728822681,1.0,0.9945270307684816
conditional_support,endogenous,24,0.00758210273386383,1.0,0.9945287546672439
conditional_support,endogenous,25,0.007581825536822752,1.0,0.9945289546926287
conditional_support,endogenous,26,0.0075781693866549624,1.0,0.9945315929705898
conditional_support,endogenous,27,0.007582608556872958,1.0,0.9945283896653605
