protection_return,dependency_damage,final_protection_share_mean,final_protection_share_sd,final_capability_mean,final_capability_sd,cumulative_output_mean,inversion_frequency
0.55,0.0,0.02201964418002077,0.001633320446375466,0.6291693790127634,0.016957194854958228,74.48193652374303,0.0
0.55,0.02,0.023429090346082135,0.0018854709164093562,0.6092505336116318,0.017226310256587534,72.42327188159474,0.0
0.55,0.048,0.026015860729492232,0.002410550060977608,0.5791587489213483,0.017847098286396478,69.39019430976063,0.0
0.55,0.08,0.030635761379062324,0.003587677211684102,0.5396170255047926,0.019345160150146562,65.60627931198174,0.0
0.75,0.0,0.19715956789333858,0.20890600740539828,0.5692998601024432,0.052489694854295464,68.51440424439706,0.06
0.75,0.02,0.9845987242412961,0.004861210263576937,0.0835354399707324,0.03609672140309889,55.62489100626881,1.0
0.75,0.048,0.9868670221727639,0.00038619226028900307,0.008208739752700782,0.005643075984115607,52.528618901259506,1.0
0.75,0.08,0.9869198892868088,0.00037078303144497403,0.005502302414449759,0.004291648506813639,51.56717969517451,1.0
0.95,0.0,0.9873289530586478,0.00046168765870682803,0.17183826689014797,0.016730846872888918,52.379114578754006,1.0
0.95,0.02,0.9891968860766721,0.00026671524620168886,0.02584800205149671,0.010359041904448805,51.83391416035632,1.0
0.95,0.048,0.9893859932171383,0.0002284346743252091,0.0071345301139561276,0.005178400771136291,51.497810748432606,1.0
0.95,0.08,0.9894028532694221,0.00022426190151193047,0.00538200411626366,0.004255272325801391,51.28484819330456,1.0
1.15,0.0,0.9897202547364679,0.0002623046273043638,0.16102393130709008,0.016665641695465777,51.69151874974335,1.0
1.15,0.02,0.9906944376134948,0.00017292544333812206,0.02314202205230731,0.01021308816903193,51.434642100366645,1.0
1.15,0.048,0.990791221583189,0.00015277687077343676,0.006975987961988958,0.005109074089569955,51.27990958401772,1.0
1.15,0.08,0.9908007430687052,0.0001505098945534438,0.005316657294567305,0.004234081915180138,51.17953862535011,1.0
